Bank Name,Bank ID,Account Number,Entity ID,Entity Name
Golden Bank,323085,80A3F06E0,80141B0E0,Partnership #4324
Israel Bank #23,157948,815C47E60,801321B30,Corporation #54858
National Bank of Helena,227876,80EED1260,800E25430,Corporation #1937
Israel Bank #33,259272,815FA6460,801B8D4F0,Partnership #23467
Spain Bank #1275,36897,8036810E0,8008599E0,Corporation #29949
Portugal Bank #42,24029,8029EEEE0,800900720,Corporation #28998
National Bank of Dallas,137268,819C41A60,801536C10,Corporation #12531
Golden Credit Union,327151,815BEF7E0,801117330,Sole Proprietorship #2861
Plateau Bancorp,31188,8151CEA60,8012EA9F0,Partnership #21900
First Bank of Butte,5394,80DBA8960,80153DB10,Corporation #8897
Fieldstone Federal Bank,15331,80715F1E0,801569350,Corporation #10535
Russia Bank #27,230595,80C0261E0,801028190,Corporation #45569
India Bank #211,226937,80A2B3CE0,800FDC6B0,Corporation #66744
National Bank of Albany,136360,814825460,8006DCB20,Sole Proprietorship #66155
Bank of Helena,3597,8031F06E0,8002A2040,Partnership #5564
Savings Bank of Columbus,316108,80AB96670,80134CCA0,Corporation #5344
Savings Bank of Watertown,35722,80245C570,80104E470,Corporation #16628
Brazil Bank #921,350014,8132B9F70,8012A6460,Corporation #63398
Brazil Bank #1033,351528,8132E9470,8012A6460,Corporation #63398
Portugal Bank #7196,319154,810D75970,800A55500,Corporation #31922
Saudi Arabia Bank #1538,363756,8179E7670,8013C9CA0,Corporation #51259
National Bank of Montpelier,313157,81383A2F0,801494190,Corporation #6219
Germany Bank #4689,3995,800B7CDF0,800CB1FD0,Corporation #38490
Russia Bank #21,16,80D800870,80111DBD0,Partnership #51735
Israel Bank #9,115,817A039F0,8013C9CA0,Corporation #51259
Greece Bank #939,231705,8103C8CF0,800862A00,Partnership #60631
National Bank of Billings,334957,80D8636F0,8012DB870,Partnership #5181
Crytpo Bank #362,372059,81C06ADF1,8000FBB80,Corporation #49952
Crytpo Bank #10,69289,819F754F1,8015B10D0,Partnership #953
Saudi Arabia Bank #6,163233,8179ED0F0,8014046C0,Corporation #49546
Israel Bank #30,58848,815FAF070,801B8D4F0,Partnership #23467
Brazil Bank #41,249523,8129F59F0,801452080,Sole Proprietorship #4586
Australia Bank #37,241036,81026C670,8011386F0,Corporation #47128
Spain Bank #1081,34910,802D42F70,800B6BF60,Partnership #28162
Bank of Sacramento,45803,818A975F0,801381320,Corporation #16689
Hearthstone Trust Bank,331459,80F3F61F0,8014DD7F0,Partnership #17938
Hilltop Savings Bank,340394,80EA0D570,80128C000,Corporation #2422
National Bank of Lacrosse,324922,80C529D70,800BD94F0,Partnership #4102
First Bank of Plattsburg,245564,817DF9E70,8007649E0,Partnership #69053
Germany Bank #15,2514,8106CE980,800B9DB00,Partnership #63230
France Bank #4585,311253,809DFEA00,800CAC1F0,Sole Proprietorship #35647
France Bank #5976,317543,8103C3300,800A2ABA0,Corporation #31682
Portugal Bank #5735,38549,808934A00,800AD5920,Corporation #35765
India Bank #90,227269,80ED3E200,800EFB950,Corporation #43881
China Bank #2020,310813,8048F0E00,800DDE330,Corporation #39655
Arbor Community Bank,21414,80129D380,8011A2120,Sole Proprietorship #3524
China Bank #291,10920,81AFD5480,800D69650,Corporation #41604
First Bank of Hartford,15284,81485DA80,8013C2680,Corporation #403
Crytpo Bank #33,268792,81994FC81,8015B10D0,Partnership #953
Mexico Bank #202,346957,8110DA600,801201800,Corporation #48226
Italy Bank #187,8884,81A595A80,800ABE100,Partnership #31509
Italy Bank #62,24643,803682100,800AB1180,Sole Proprietorship #27192
Germany Bank #141,12202,80157D580,80081A5C0,Corporation #28240
National Bank of Albany,321450,81973D580,8012A4DE0,Partnership #5285
National Bank of Omaha,121007,817945700,800EE13F0,Partnership #4385
National Bank of Albany,18326,80753CB80,80133E5A0,Partnership #10633
Sea Cooperative Bank,31381,8016D4A00,801064CF0,Partnership #3651
First Bank of Butte,3792,801276880,800E56EC0,Corporation #2946
Crytpo Bank #33,268792,81994FC80,8014A0070,Corporation #13155
Australia Bank #483,243704,8108BFC80,8011BDF60,Sole Proprietorship #16968
Canada Bank #5,135925,80D397A00,8010B7FE0,Partnership #51688
Russia Bank #31,30959,80B547700,80102C1F0,Sole Proprietorship #63603
Plandor Community Bank,1394,80F3AB980,8000C9FE0,Sole Proprietorship #62262
Bank of Philadelphia,1217,815526000,80009F8A0,Sole Proprietorship #22561
Australia Bank #1002,341418,8100AD590,80112C790,Partnership #45757
Belgium Bank #59,25384,802599490,800C8BE50,Corporation #61070
Bank of Topeka,331117,81256B610,80153B090,Partnership #18946
Crytpo Bank #4,70846,81A225F91,8000B8B60,Sole Proprietorship #55343
Crytpo Bank #36,169309,81BAAAE11,8000FBB80,Corporation #49952
Regents Credit Union,312365,81B6A1610,801543750,Sole Proprietorship #66603
Australia Bank #226,342431,80FE4CF10,801144E60,Corporation #48148
Israel Bank #28,257741,8154F6610,801327620,Corporation #49106
Brazil Bank #20,248739,812A5D110,801208FE0,Corporation #48389
UK Bank #27,134598,80CAEE390,801076F10,Sole Proprietorship #25280
Russia Bank #21,16,80AD00890,80101FE30,Corporation #45217
China Bank #17,7082,802BDD590,800E4C070,Sole Proprietorship #37350
Spain Bank #628,8540,81308AE90,80081F8A0,Corporation #29227
France Bank #73,25400,809A99C90,8009BFD80,Partnership #28881
Portugal Bank #244,3748,800575290,80094CAC0,Sole Proprietorship #20771
National Bank of Helena,13474,8034A5190,8012B52C0,Sole Proprietorship #5974
Brazil Bank #0,149108,812233A90,801257790,Partnership #6919
France Bank #3908,162861,818EE1610,800CCDF90,Corporation #56687
Savings Bank of Indianapolis,214867,8060BA910,800480DE0,Corporation #57051
First Bank of the Valley,27155,816D50910,80037F000,Corporation #24392
National Bank of Seattle,224,803907090,80008F680,Corporation #6206
Heath Community Bank,321143,816E33B20,801434EE0,Corporation #15315
National Bank of New York,31653,8014DD220,800B7B9E0,Corporation #34524
Brazil Bank #31,249566,8128F6FA0,801093480,Sole Proprietorship #48001
Belgium Bank #909,34640,8131BA8A0,800C13730,Corporation #38145
Australia Bank #48,141204,80F63CAA1,80050C700,Partnership #50309
Slovakia Bank #4,14,8171007A0,80089F060,Corporation #28497
Flagstone Savings Bank,219782,80A2543A0,801356BE0,Sole Proprietorship #1390
Saudi Arabia Bank #3,217,819486C20,8013AEEE0,Sole Proprietorship #49939
Brazil Bank #141,349488,811FA98A0,801218E00,Corporation #48400
Australia Bank #43,142146,80FB5A1A0,8011386F0,Corporation #47128
UK Bank #24,134750,80CF72FA0,801071A70,Partnership #44021
Russia Bank #21,16,80B5008A0,801019BA0,Corporation #45220
National Bank of the West,221024,80DB7B0A0,8014B6530,Corporation #5090
Hearthstone Community Bank,5033,80271D420,801533450,Corporation #4895
Switzerland Bank #42,52914,813C759A0,8012DD090,Partnership #48317
Switzerland Bank #49,52860,814FF3EA0,8012D20F0,Sole Proprietorship #49261
Australia Bank #48,141204,80F63CAA0,801152360,Sole Proprietorship #46745
China Bank #10,9856,803E340A0,800D786D0,Corporation #68448
Spain Bank #97,14640,801BC98A0,800983760,Sole Proprietorship #28189
Savings Bank of Helena,25242,802114DA0,80030F340,Corporation #4383
Savings Bank of Miami,11701,80116DA20,80017C300,Corporation #9039
National Bank of Billings,531,813890920,8000E91E0,Sole Proprietorship #21175
Savings Bank of Chicago,260383,8183C8F30,800F3C290,Partnership #10416
Bank of Lacrosse,333360,80C2318B0,8014DD430,Partnership #1507
Australia Bank #940,341465,80F72EC30,8011B6100,Corporation #48078
Crytpo Bank #1434,372302,81AF727B1,8001A0080,Corporation #58842
India Bank #1789,323712,80ED840B0,800F011C0,Partnership #55710
Mountain Community Bank,331292,80B5F0EB0,800E47010,Sole Proprietorship #22213
Crytpo Bank #32,171316,81A469AB1,8003706C0,Partnership #53322
Spain Bank #3612,355703,8144EBB30,800A08C40,Sole Proprietorship #29839
France Bank #656,117105,80FB4B830,80083B6E0,Corporation #51972
Brazil Bank #39,148698,812126DB0,801237110,Corporation #48779
France Bank #112,3671,803CF2B30,8009415C0,Partnership #30011
